nom,prix,categorie,localisation
Pâtes penne blé complet CARREFOUR EXTRA,N/A,pates,Non spécifiée
Pâtes coquillettes blé complet CARREFOUR EXTRA,N/A,pates,Non spécifiée
Pâtes Coquilettes au Blé Complet Bio CARREFOUR BIO,N/A,pates,Non spécifiée
Pâtes fusilli blé complet bio CARREFOUR BIO,N/A,pates,Non spécifiée
Pâtes farfalle blé complet ALNATURA,N/A,pates,Non spécifiée
Spaghetti ALPINA,N/A,pates,Non spécifiée
Pâtes Tagliatelle blé noir IGP Bretagne MAISON HERMINE,N/A,pates,Non spécifiée
Pâtes spaghetti CARREFOUR,N/A,pates,Non spécifiée
Pâtes capellini CARREFOUR,N/A,pates,Non spécifiée
Pâtes linguine CARREFOUR,N/A,pates,Non spécifiée
Pâtes tagliatelles CARREFOUR,N/A,pates,Non spécifiée
pâtes alimentaires spaghetti CARREFOUR CLASSIC',N/A,pates,Non spécifiée
Pâtes spaghetti cuisson rapide CARREFOUR CLASSIC',N/A,pates,Non spécifiée
Pâtes spaghetti n°11 moule en bronze CARREFOUR ORIGINAL,N/A,pates,Non spécifiée
Pâtes spaghetti blé complet CARREFOUR EXTRA,N/A,pates,Non spécifiée
Pâtes d'Alsace Nids à l'Ancienne IGP REFLETS DE FRANCE,N/A,pates,Non spécifiée
Pâtes spätzle REFLETS DE FRANCE,N/A,pates,Non spécifiée
Pâtes papillons reflets de france REFLETS DE FRANCE,N/A,pates,Non spécifiée
Pâtes spaghetti bio CARREFOUR BIO,N/A,pates,Non spécifiée
Pâtes spaghetti semi-complets bio CARREFOUR BIO,N/A,pates,Non spécifiée
Pâtes Tagliatelle Bio CARREFOUR BIO,N/A,pates,Non spécifiée
Pâtes spaghetti sans gluten CARREFOUR NO GLUTEN !,N/A,pates,Non spécifiée
Pâtes spaghetti SIMPL,N/A,pates,Non spécifiée
Pâtes spaghetti n°5 BARILLA,N/A,pates,Non spécifiée
Pâtes capellini n°1 BARILLA,N/A,pates,Non spécifiée
Pâtes spaghettoni n°7 BARILLA,N/A,pates,Non spécifiée
Pâtes mafaldine collezione BARILLA,N/A,pates,Non spécifiée
Pâtes capellini n°1 BARILLA,N/A,pates,Non spécifiée
Pâtes spaghettini n°3 BARILLA,N/A,pates,Non spécifiée
Pâtes spaghetti n°5 BARILLA,N/A,pates,Non spécifiée
Pâtes penne blé complet CARREFOUR EXTRA,N/A,pates,75000 Paris
Pâtes coquillettes blé complet CARREFOUR EXTRA,N/A,pates,75000 Paris
Pâtes Coquilettes au Blé Complet Bio CARREFOUR BIO,N/A,pates,75000 Paris
Pâtes fusilli blé complet bio CARREFOUR BIO,N/A,pates,75000 Paris
Pâtes farfalle blé complet ALNATURA,N/A,pates,75000 Paris
Spaghetti ALPINA,N/A,pates,75000 Paris
Pâtes Tagliatelle blé noir IGP Bretagne MAISON HERMINE,N/A,pates,75000 Paris
Pâtes spaghetti CARREFOUR,N/A,pates,75000 Paris
Pâtes capellini CARREFOUR,N/A,pates,75000 Paris
Pâtes linguine CARREFOUR,N/A,pates,75000 Paris
Pâtes tagliatelles CARREFOUR,N/A,pates,75000 Paris
pâtes alimentaires spaghetti CARREFOUR CLASSIC',N/A,pates,75000 Paris
Pâtes spaghetti cuisson rapide CARREFOUR CLASSIC',N/A,pates,75000 Paris
Pâtes spaghetti n°11 moule en bronze CARREFOUR ORIGINAL,N/A,pates,75000 Paris
Pâtes spaghetti blé complet CARREFOUR EXTRA,N/A,pates,75000 Paris
Pâtes d'Alsace Nids à l'Ancienne IGP REFLETS DE FRANCE,N/A,pates,75000 Paris
Pâtes spätzle REFLETS DE FRANCE,N/A,pates,75000 Paris
Pâtes papillons reflets de france REFLETS DE FRANCE,N/A,pates,75000 Paris
Pâtes spaghetti bio CARREFOUR BIO,N/A,pates,75000 Paris
Pâtes spaghetti semi-complets bio CARREFOUR BIO,N/A,pates,75000 Paris
Pâtes Tagliatelle Bio CARREFOUR BIO,N/A,pates,75000 Paris
Pâtes spaghetti sans gluten CARREFOUR NO GLUTEN !,N/A,pates,75000 Paris
Pâtes spaghetti SIMPL,N/A,pates,75000 Paris
Pâtes spaghetti n°5 BARILLA,N/A,pates,75000 Paris
