produit,prix,categorie,magasin
Penne au blé complet - 500G - TURINI,"1€,00",Riz,E.Leclerc France
lasagne boite carton - 500 g - TURINI,"1€,29",Riz,E.Leclerc France
coquillettes sans gluten 400g - CHAQ. JR S/ GLUTEN,"1€,57",Riz,E.Leclerc France
Coquillettes - 500G - TURINI,"0€,75",Riz,E.Leclerc France
Cheveux d'ange - 500G - TURINI,"0€,85",Riz,E.Leclerc France
Penne Rigate - 500G - TURINI,"0€,60",Riz,E.Leclerc France
Spaghetti - 500G - TURINI,"0€,69",Riz,E.Leclerc France
Nouilles - 500G - TURINI,"0€,75",Riz,E.Leclerc France
Cannelloni à farcir - 250G - TURINI,"0€,99",Riz,E.Leclerc France
Tagliatelles - 500G - TURINI,"1€,29",Riz,E.Leclerc France
Torsettes complètes - 500G - TURINI,"0€,99",Riz,E.Leclerc France
Farfalles - 1KG - TURINI,"1€,20",Riz,E.Leclerc France
Coquillettes Bio - 500G - BIO VILLAGE,"0€,84",Riz,E.Leclerc France
Pâtes chinoises aux oeufs - 250 g - TABLES DU MONDE,"1€,19",Riz,E.Leclerc France
Cheveux d'ange - 1KG - TURINI,"1€,61",Riz,E.Leclerc France
Spaghetti - 1KG - TURINI,"1€,35",Riz,E.Leclerc France
"Torsades tricolores (natures, tomates, épinards) - 500G - TURINI","1€,10",Riz,E.Leclerc France
fusilli sans gluten 400g - CHAQ. JR S/ GLUTEN,"1€,75",Riz,E.Leclerc France
Farfalles complètes bio - 500G - BIO VILLAGE,"1€,95",Riz,E.Leclerc France
Torsades - 500G - TURINI,"0€,65",Riz,E.Leclerc France
Vermicelles à base de haricot mungo - 100 g - TABLES DU MONDE,"1€,23",Riz,E.Leclerc France
spaghetti sans gluten 400g - CHAQ. JR S/ GLUTEN,"1€,60",Riz,E.Leclerc France
Spaghetti Bio - 500G - BIO VILLAGE,"0€,83",Riz,E.Leclerc France
tagliatelles sans gluten 250g - CHAQ. JR S/ GLUTEN,"1€,69",Riz,E.Leclerc France
Coquillettes - 1KG - TURINI,"1€,35",Riz,E.Leclerc France
Etoiles - 500G - TURINI,"1€,05",Riz,E.Leclerc France
Serpenti cuisson rapide - 500G - TURINI,"1€,16",Riz,E.Leclerc France
Mini coudes rayés - 500G - TURINI,"0€,99",Riz,E.Leclerc France
Macaroni - 1KG - TURINI,"1€,35",Riz,E.Leclerc France
Nouilles - 1KG - TURINI,"1€,35",Riz,E.Leclerc France
Gansettes - 500G - TURINI,"0€,98",Riz,E.Leclerc France
Linguine - 500G - TURINI,"0€,91",Riz,E.Leclerc France
