produit,prix,prix_num,ean,categorie,magasin,url_magasin,url_produit
pâtes alimentaires spaghetti CARREFOUR CLASSIC',"0,70 €",0.7,3560070328970,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-alimentaires-spaghetti-carrefour-classic-3560070328970
Pâtes spaghetti cuisson rapide CARREFOUR CLASSIC',"0,89 €",0.89,3560070500406,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-cuisson-rapide-carrefour-classic-3560070500406
Pâtes spaghetti bio CARREFOUR BIO,"0,99 €",0.99,3270190127833,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-bio-carrefour-bio-3270190127833
Pâtes linguine CARREFOUR,"0,99 €",0.99,3560070555307,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-linguine-carrefour-3560070555307
Pâtes spaghetti semi-complets bio CARREFOUR BIO,"0,99 €",0.99,3270190156222,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-semi-complets-bio-carrefour-bio-3270190156222
Pâtes spaghetti SIMPL,"1,29 €",1.29,3560071016869,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-simpl-3560071016869
Pâtes spaghetti blé complet CARREFOUR EXTRA,"1,30 €",1.3,3560071086008,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-ble-complet-carrefour-extra-3560071086008
Pâtes penne blé complet CARREFOUR EXTRA,"1,30 €",1.3,3560070825486,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-penne-ble-complet-carrefour-extra-3560070825486
Pâtes spaghetti CARREFOUR,"1,35 €",1.35,3560070328888,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-carrefour-3560070328888
Pâtes tagliatelles CARREFOUR,"1,35 €",1.35,3560070832491,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-tagliatelles-carrefour-3560070832491
Pâtes coquillettes blé complet CARREFOUR EXTRA,"1,45 €",1.45,3560070825509,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-ble-complet-carrefour-extra-3560070825509
Pâtes farfalle blé complet ALNATURA,"1,45 €",1.45,4104420240438,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-farfalle-ble-complet-alnatura-4104420240438
Pâtes fusilli blé complet CARREFOUR EXTRA,"1,45 €",1.45,3560070825493,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilli-ble-complet-carrefour-extra-3560070825493
Pâtes papillons reflets de france REFLETS DE FRANCE,"1,49 €",1.49,3560071519377,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-papillons-reflets-de-france-reflets-de-france-3560071519377
Spaghetti ALPINA,"1,49 €",1.49,3252970012324,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/spaghetti-alpina-3252970012324
Pâtes spätzle REFLETS DE FRANCE,"1,59 €",1.59,3560071086107,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaetzle-reflets-de-france-3560071086107
Pâtes fusilli blé complet bio CARREFOUR BIO,"1,65 €",1.65,3560071251864,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilli-ble-complet-bio-carrefour-bio-3560071251864
Pâtes Tagliatelle Bio CARREFOUR BIO,"1,65 €",1.65,3270190182108,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-tagliatelle-bio-carrefour-bio-3270190182108
Pâtes Coquilettes au Blé Complet Bio CARREFOUR BIO,"1,65 €",1.65,3560071251857,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquilettes-au-ble-complet-bio-carrefour-bio-3560071251857
Pâtes d'Alsace Nids à l'Ancienne IGP REFLETS DE FRANCE,"1,69 €",1.69,3560071086091,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-d-alsace-nids-a-l-ancienne-igp-reflets-de-france-3560071086091
Pâtes farfalle CARREFOUR CLASSIC',"1,75 €",1.75,3560070553990,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-farfalle-carrefour-classic-3560070553990
Pâtes spaghetti n°11 moule en bronze CARREFOUR ORIGINAL,"1,79 €",1.79,3560071225872,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-n011-moule-en-bronze-carrefour-original-3560071225872
Pâtes capellini CARREFOUR,"1,89 €",1.89,3560070613847,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-capellini-carrefour-3560070613847
Pâtes capellini n°1 BARILLA,"1,95 €",1.95,8076809525435,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-capellini-n01-barilla-8076809525435
Pâtes Fusilli Al Bronzo BARILLA,"1,99 €",1.99,8076809585408,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilli-al-bronzo-barilla-8076809585408
Pâtes Penne Rigate Al Bronzo BARILLA,"1,99 €",1.99,8076809585200,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-penne-rigate-al-bronzo-barilla-8076809585200
Pâtes Fusilloni Al Bronzo BARILLA,"1,99 €",1.99,8076809585217,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilloni-al-bronzo-barilla-8076809585217
Pâtes Linguine Al Bronzo BARILLA,"1,99 €",1.99,8076809585231,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-linguine-al-bronzo-barilla-8076809585231
Pâtes Mezzi Rigatoni Al Bronzo BARILLA,"1,99 €",1.99,8076809585224,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-mezzi-rigatoni-al-bronzo-barilla-8076809585224
Pâtes spaghetti n°5 BARILLA,"1,99 €",1.99,8076800105056,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-n05-barilla-8076800105056
