produit,marque,code_barre,prix,prix_num,categorie,enseigne,url_produit
Lacoste T shirt Femme Lacoste Farine,,,"38,99€",38.99,farine,Auchan,https://www.auchan.fr/lacoste-t-shirt-femme-lacoste-farine/pr-5ce11195-a5c6-4fb1-8cf0-4f98149c9263
AUCHAN Farine de blé fluide T45 sans grumeaux,,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-farine-de-ble-fluide-t45-sans-grumeaux/pr-C1274232
POUCE Farine de blé T55,T55,,N/A,,farine,Auchan,https://www.auchan.fr/pouce-farine-de-ble-t55/pr-C1274538
FRANCINE Farine de blé tous usages T45,T45,,N/A,,farine,Auchan,https://www.auchan.fr/francine-farine-de-ble-tous-usages-t45/pr-C1274419
AUCHAN Farine de blé T45,T45,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-farine-de-ble-t45/pr-C1274231
AUCHAN BIO Farine de blé T65,T65,,N/A,,farine,Auchan,https://www.auchan.fr/auchan-bio-farine-de-ble-t65/pr-C1273123
BONNE MAMAN Pâte à tartiner noisettes et cacao sans huile de palme,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-pate-a-tartiner-noisettes-et-cacao-sans-huile-de-palme/pr-C1438273
BONNE MAMAN Confiture de fraises,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-confiture-de-fraises/pr-C1262439
BONNE MAMAN Pâte à tartiner noisettes et cacao,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-pate-a-tartiner-noisettes-et-cacao/pr-C1438272
BONNE MAMAN Intense confiture de fraise moins sucrée,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-intense-confiture-de-fraise-moins-sucree/pr-C1265248
BONNE MAMAN Confiture d'abricots,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-confiture-d-abricots/pr-C1262440
BONNE MAMAN Intense confiture d'abricot moins sucrée,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-intense-confiture-d-abricot-moins-sucree/pr-C1265246
BONNE MAMAN Confiture 4 fruits rouges fraises cerises groseilles et cassis,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-confiture-4-fruits-rouges-fraises-cerises-groseilles-et-cassis/pr-C1274459
BONNE MAMAN Intense confiture de myrtille moins sucrée,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-intense-confiture-de-myrtille-moins-sucree/pr-C1265516
BONNE MAMAN Intense confiture de framboise moins sucrée,,,N/A,,farine,Auchan,https://www.auchan.fr/bonne-maman-intense-confiture-de-framboise-moins-sucree/pr-C1265517
