produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Gougères,,3498841210486,"0,15 €",0.15,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/gougeres-3498841210486
Maxi chouquette,,3523680491717,"0,29 €",0.29,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/maxi-chouquette-3523680491717
Levure Chimique CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070531455,"0,32 €",0.32,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-chimique-carrefour-classic-3560070531455
Baguette,,3276550564973,"0,36 €",0.36,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-3276550564973
Mini croissants Pur beurre,,3523680448704,"0,39 €",0.39,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/mini-croissants-pur-beurre-3523680448704
Viennoiseries assortiment,,3523680176539,"0,39 €",0.39,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/viennoiseries-assortiment-3523680176539
Mini pain au chocolat Pur beurre,,3523680448711,"0,39 €",0.39,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/mini-pain-au-chocolat-pur-beurre-3523680448711
Baguette,,3276550138020,"0,39 €",0.39,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-3276550138020
Kiwi Hayward,,3276552308414,"0,39 €",0.39,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/kiwi-hayward-3276552308414
Croissants au tournesol,,3245414088030,"0,40 €",0.4,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/croissants-au-tournesol-3245414088030
Navets ronds violets vrac,,3000000039151,"0,42 €",0.42,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/navets-ronds-violets-vrac-3000000039151
Nouilles instantanées saveur curry APOLLO,APOLLO,6091091000172,"0,44 €",0.44,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-curry-apollo-6091091000172
Nouilles instantanées saveur légumes APOLLO,APOLLO,6091091000196,"0,44 €",0.44,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-legumes-apollo-6091091000196
Levure ménagère,,0000030045446,"0,45 €",0.45,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-menagere-0000030045446
Baguette,,3511241222030,"0,45 €",0.45,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-3511241222030
Levure chimique LA PATELIERE,LA PATELIERE,3278584131084,"0,48 €",0.48,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-chimique-la-pateliere-3278584131084
Levure Chimique VAHINE,VAHINE,3179140163818,"0,48 €",0.48,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-chimique-vahine-3179140163818
Nouille curry YUM YUM,YUM YUM,8852018101079,"0,49 €",0.49,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-curry-yum-yum-8852018101079
Nouille légumes YUM YUM,YUM YUM,8852018101062,"0,49 €",0.49,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-legumes-yum-yum-8852018101062
Nouille au canard YUM YUM,YUM YUM,8852018101031,"0,49 €",0.49,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-au-canard-yum-yum-8852018101031
Citrons Verts,,3276552310721,"0,49 €",0.49,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/citrons-verts-3276552310721
Gros Oeufs Vrac Plein Air,,3414280270065,"0,49 €",0.49,alimentaire_oeufs,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/gros-oeufs-vrac-plein-air-3414280270065
Liquide vaisselle Parfum citron SIMPLY CHOICE,SIMPLY CHOICE,3560071575816,"0,49 €",0.49,entretien_liquide_vaisselle,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/liquide-vaisselle-parfum-citron-simply-choice-3560071575816
Nouille poulet grillé YUM YUM,YUM YUM,8852018101147,"0,49 €",0.49,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-poulet-grille-yum-yum-8852018101147
Brosse à dents Souple Enfant 7 Ans+ SIMPL,SIMPL,3560071481209,"0,49 €",0.49,hygiene_brosse_a_dents,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/brosse-a-dents-souple-enfant-7-ans-simpl-3560071481209
Petit pain aux Olives,,3523680478428,"0,49 €",0.49,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/petit-pain-aux-olives-3523680478428
Demi Flûte,,3248288165326,"0,50 €",0.5,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/demi-flute-3248288165326
Demi flûte,,3276550564621,"0,50 €",0.5,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/demi-flute-3276550564621
Sucre vanillé  SAINTE LUCIE,SAINTE LUCIE,3162050034033,"0,51 €",0.51,alimentaire_sucre,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/sucre-vanille-sainte-lucie-3162050034033
Nouilles instantanées Noodles saveur poulet CARREFOUR SENSATION,CARREFOUR SENSATION,3560070824861,"0,52 €",0.52,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-noodles-saveur-poulet-carrefour-sensation-3560070824861
Nouilles instantanées saveur crevettes CARREFOUR,CARREFOUR,3560070824885,"0,52 €",0.52,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-crevettes-carrefour-3560070824885
Nouilles instantanées saveur curry CARREFOUR SENSATION,CARREFOUR SENSATION,3560070957293,"0,52 €",0.52,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-curry-carrefour-sensation-3560070957293
