produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Nouilles instantanées saveur légumes APOLLO,APOLLO,6091091000196,"0,44 €",0.44,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-legumes-apollo-6091091000196
Nouilles instantanées saveur curry APOLLO,APOLLO,6091091000172,"0,44 €",0.44,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-curry-apollo-6091091000172
Nouille légumes YUM YUM,YUM YUM,8852018101062,"0,49 €",0.49,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-legumes-yum-yum-8852018101062
Nouille au canard YUM YUM,YUM YUM,8852018101031,"0,49 €",0.49,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-au-canard-yum-yum-8852018101031
Nouille curry YUM YUM,YUM YUM,8852018101079,"0,49 €",0.49,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-curry-yum-yum-8852018101079
Nouille poulet grillé YUM YUM,YUM YUM,8852018101147,"0,49 €",0.49,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-poulet-grille-yum-yum-8852018101147
Nouilles instantanées saveur crevettes CARREFOUR,CARREFOUR,3560070824885,"0,52 €",0.52,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-crevettes-carrefour-3560070824885
Nouilles instantanées Noodles saveur poulet CARREFOUR SENSATION,CARREFOUR SENSATION,3560070824861,"0,52 €",0.52,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-noodles-saveur-poulet-carrefour-sensation-3560070824861
Nouilles instantanées saveur curry CARREFOUR SENSATION,CARREFOUR SENSATION,3560070957293,"0,52 €",0.52,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-curry-carrefour-sensation-3560070957293
Nouilles instantanées aux crevettes halal YUM YUM,YUM YUM,8852018101055,"0,55 €",0.55,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-aux-crevettes-halal-yum-yum-8852018101055
Nouilles instantanées au bœuf halal YUM YUM,YUM YUM,8852018101017,"0,55 €",0.55,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-au-boeuf-halal-yum-yum-8852018101017
Nouilles instantanées au poulet YUM YUM,YUM YUM,8852018101024,"0,55 €",0.55,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-au-poulet-yum-yum-8852018101024
Nouilles instantanées saveur bœuf rôti APOLLO,APOLLO,6091091001681,"0,59 €",0.59,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-boeuf-roti-apollo-6091091001681
Nouilles instantanées saveur crevettes APOLLO,APOLLO,6091091000189,"0,59 €",0.59,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-crevettes-apollo-6091091000189
Nouilles instantanées fruits de mer/citronnelle APOLLO,APOLLO,6091091000332,"0,59 €",0.59,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-fruits-de-mer-citronnelle-apollo-6091091000332
Nouilles saveur poulet APOLLO,APOLLO,6091091000301,"0,59 €",0.59,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-saveur-poulet-apollo-6091091000301
Pâtes Bagos Biava MILANEZA,MILANEZA,5601286233776,"0,63 €",0.63,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-bagos-biava-milaneza-5601286233776
Pâtes Pevide Midolline Classica NACIONAL,NACIONAL,5601066300483,"0,63 €",0.63,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-pevide-midolline-classica-nacional-5601066300483
Pâtes Pérolas Pisellini Classica NACIONAL,NACIONAL,5601066300315,"0,66 €",0.66,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-perolas-pisellini-classica-nacional-5601066300315
Nouilles déshydratées saveur crevettes MAMEE,MAMEE,9555022300047,"0,70 €",0.7,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-deshydratees-saveur-crevettes-mamee-9555022300047
pâtes alimentaires spaghetti CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328970,"0,70 €",0.7,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-alimentaires-spaghetti-carrefour-classic-3560070328970
Pâtes Nouilles CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560071562618,"0,75 €",0.75,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-nouilles-carrefour-classic-3560071562618
Nouilles déshydratées saveur bœuf MAMEE,MAMEE,9555022300009,"0,77 €",0.77,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-deshydratees-saveur-boeuf-mamee-9555022300009
Pâtes macaroni CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328949,"0,79 €",0.79,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-macaroni-carrefour-classic-3560070328949
Pâtes fusilli classic CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328826,"0,79 €",0.79,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilli-classic-carrefour-classic-3560070328826
Pâtes coquillettes CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328857,"0,79 €",0.79,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-carrefour-classic-3560070328857
Pâtes cuscus perolas MILANEZA,MILANEZA,5601286235770,"0,83 €",0.83,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-cuscus-perolas-milaneza-5601286235770
Vermicelles de haricot mungo MEI ASI,MEI ASI,3661945390433,"0,86 €",0.86,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/vermicelles-de-haricot-mungo-mei-asi-3661945390433
Nouilles déshydratées saveur poulet MAMEE,MAMEE,9555022300016,"0,87 €",0.87,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-deshydratees-saveur-poulet-mamee-9555022300016
Nouilles japonaises épicées NISSIN,NISSIN,8712429361106,"0,88 €",0.88,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-japonaises-epicees-nissin-8712429361106
Pâtes tagliatelles oeufs frais LUSTUCRU,LUSTUCRU,3660861908302,"0,88 €",0.88,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-tagliatelles-oeufs-frais-lustucru-3660861908302
Nouilles Blé crevettes TANOSHI,TANOSHI,3229820783024,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-ble-crevettes-tanoshi-3229820783024
Pâtes farfalle CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070546848,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-farfalle-carrefour-classic-3560070546848
Pâtes coquillettes 3 minutes CARREFOUR CLASSIC',CARREFOUR CLASSIC',3245412886232,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-3-minutes-carrefour-classic-3245412886232
Nouille Blé curry TANOSHI,TANOSHI,3229820786681,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouille-ble-curry-tanoshi-3229820786681
Nouilles Blé bœuf TANOSHI,TANOSHI,3229820783031,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-ble-boeuf-tanoshi-3229820783031
Pâtes serpentini CARREFOUR,CARREFOUR,3560070554058,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-serpentini-carrefour-3560070554058
Pâtes fusilli cuisson rapide CARREFOUR CLASSIC',CARREFOUR CLASSIC',3245412885174,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilli-cuisson-rapide-carrefour-classic-3245412885174
Nouilles Instantanées Poulet BANZAI NOODLE,BANZAI NOODLE,3038359913396,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-poulet-banzai-noodle-3038359913396
Pâtes spaghetti cuisson rapide CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070500406,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-cuisson-rapide-carrefour-classic-3560070500406
Pâtes penne rigate CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070555390,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-penne-rigate-carrefour-classic-3560070555390
Nouilles Blé poulet TANOSHI,TANOSHI,3229820783017,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-ble-poulet-tanoshi-3229820783017
Pâtes cheveux d'ange CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070329120,"0,89 €",0.89,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-cheveux-d-ange-carrefour-classic-3560070329120
