produit,categorie,magasin,url_magasin,prix_txt,prix_num,url_produit,source,scraped_at
L'Atelier Blini Blinis Frais Au Blé Tendre 135g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"1,99 €",1.99,https://courses.monoprix.fr/products/l-atelier-blini-blinis-frais-au-blé-tendre-135g/MPX_2133913,monoprix_scrape,2026-01-28T10:49:22
Harrys Pain de mie 100% mie nature sans croute sans additifs 500g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,19 €",2.19,https://courses.monoprix.fr/products/harrys-pain-de-mie-100-mie-nature-sans-croute-sans-additifs-500g/MPX_3292151,monoprix_scrape,2026-01-28T10:49:22
Harrys Pain de mie 100% mie complet sans croute sans additifs 500g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,55 €",2.55,https://courses.monoprix.fr/products/harrys-pain-de-mie-100-mie-complet-sans-croute-sans-additifs-500g/MPX_2650793,monoprix_scrape,2026-01-28T10:49:22
Wasa Biscottes croustillantes léger 270g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"1,99 €",1.99,https://courses.monoprix.fr/products/wasa-biscottes-croustillantes-léger-270g/MPX_1253202,monoprix_scrape,2026-01-28T10:49:22
Wasa Biscottes croustillantes fibres 230g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"1,89 €",1.89,https://courses.monoprix.fr/products/wasa-biscottes-croustillantes-fibres-230g/MPX_1253204,monoprix_scrape,2026-01-28T10:49:22
Harrys Brioche Tressée Nature au Sucre 500g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"3,49 €",3.49,https://courses.monoprix.fr/products/harrys-brioche-tressée-nature-au-sucre-500g/MPX_3623068,monoprix_scrape,2026-01-28T10:49:22
Wasa Biscottes croustillantes authentique 275g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,45 €",2.45,https://courses.monoprix.fr/products/wasa-biscottes-croustillantes-authentique-275g/MPX_1253209,monoprix_scrape,2026-01-28T10:49:22
L'Atelier Blini 16 Blinis Cocktail Bio 135g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"3,29 €",3.29,https://courses.monoprix.fr/products/l-atelier-blini-16-blinis-cocktail-bio-135g/MPX_3179652,monoprix_scrape,2026-01-28T10:49:22
"L'Atelier Blini, Blinis Bio x8 160g",alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"3,19 €",3.19,https://courses.monoprix.fr/products/l-atelier-blini-blinis-bio-x8-160g/MPX_3612206,monoprix_scrape,2026-01-28T10:49:22
Harrys Brioche Mini Tressée au sucre perlé x6 - 210g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,29 €",2.29,https://courses.monoprix.fr/products/harrys-brioche-mini-tressée-au-sucre-perlé-x6-210g/MPX_3046970,monoprix_scrape,2026-01-28T10:49:22
Wasa Biscottes croustillantes complet 260g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,99 €",2.99,https://courses.monoprix.fr/products/wasa-biscottes-croustillantes-complet-260g/MPX_5394944,monoprix_scrape,2026-01-28T10:49:22
Harrys Brioche Tressée Tranchée 450g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"3,49 €",3.49,https://courses.monoprix.fr/products/harrys-brioche-tressée-tranchée-450g/MPX_3623069,monoprix_scrape,2026-01-28T10:49:22
Harrys Brioche tressée moins de sucres sans additifs 450g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"4,19 €",4.19,https://courses.monoprix.fr/products/harrys-brioche-tressée-moins-de-sucres-sans-additifs-450g/MPX_6720956,monoprix_scrape,2026-01-28T10:49:22
Monoprix Gourmet Demi-Baguettes Précuites 2x125g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"1,75 €",1.75,https://courses.monoprix.fr/products/monoprix-gourmet-demi-baguettes-précuites-2x125g/MPX_2216598,monoprix_scrape,2026-01-28T10:49:22
Brioche Pasquier - Pains au lait - x10 350g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"1,95 €",1.95,https://courses.monoprix.fr/products/brioche-pasquier-pains-au-lait-x10-350g/MPX_63873,monoprix_scrape,2026-01-28T10:49:22
Monoprix Gourmet Pain multicéréales 500g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,99 €",2.99,https://courses.monoprix.fr/products/monoprix-gourmet-pain-multicéréales-500g/MPX_2865056,monoprix_scrape,2026-01-28T10:49:22
Monoprix Gourmet Pain au seigle 500g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,99 €",2.99,https://courses.monoprix.fr/products/monoprix-gourmet-pain-au-seigle-500g/MPX_2494787,monoprix_scrape,2026-01-28T10:49:22
Harrys American sandwich complet sans sucres ajoutés 600g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,09 €",2.09,https://courses.monoprix.fr/products/harrys-american-sandwich-complet-sans-sucres-ajoutés-600g/MPX_6719591,monoprix_scrape,2026-01-28T10:49:22
La Boulangère Pains au lait Bio x8 280g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"2,59 €",2.59,https://courses.monoprix.fr/products/la-boulangère-pains-au-lait-bio-x8-280g/MPX_1906756,monoprix_scrape,2026-01-28T10:49:22
Harrys American sandwich nature sans sucres ajoutés 550g,alimentaire_pain,Monoprix Courses (online),https://courses.monoprix.fr,"1,99 €",1.99,https://courses.monoprix.fr/products/harrys-american-sandwich-nature-sans-sucres-ajoutés-550g/MPX_6719589,monoprix_scrape,2026-01-28T10:49:22
