produit,categorie,prix,prix_num,url_produit,magasin,url_magasin
Cassegrain Haricots Verts Extra-Fins Cueillis et Rangés Main 110g,alimentaire_conserves_simples,"1,59 €",1.59,https://courses.monoprix.fr/products/cassegrain-haricots-verts-extra-fins-cueillis-et-rangés-main-110g/MPX_3011174,Monoprix Courses (online),https://courses.monoprix.fr
Cassegrain Haricots Verts très fins coupés 330g,alimentaire_conserves_simples,"2,45 €",2.45,https://courses.monoprix.fr/products/cassegrain-haricots-verts-très-fins-coupés-330g/MPX_3416695,Monoprix Courses (online),https://courses.monoprix.fr
Le Savoureux Thon entier à l'Huile d'Olive Vierge Extra 104g,alimentaire_conserves_simples,"3,99 €",3.99,https://courses.monoprix.fr/products/le-savoureux-thon-entier-à-l-huile-d-olive-vierge-extra-104g/MPX_162531,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Farine De Blé Fluide Type 45 1kg,alimentaire_farine,"1,29 €",1.29,https://courses.monoprix.fr/products/monoprix-farine-de-blé-fluide-type-45-1kg/MPX_3648530,Monoprix Courses (online),https://courses.monoprix.fr
Francine farine de blé type 45 tous usages 1kg,alimentaire_farine,"1,49 €",1.49,https://courses.monoprix.fr/products/francine-farine-de-blé-type-45-tous-usages-1kg/MPX_1060,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Lait de coco 200ml,alimentaire_fruits_legumes,"0,95 €",0.95,https://courses.monoprix.fr/products/monoprix-lait-de-coco-200ml/MPX_2875977,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Carotine en Sachet 500g,alimentaire_fruits_legumes,"0,99 €",0.99,https://courses.monoprix.fr/products/monoprix-carotine-en-sachet-500g/MPX_2380951,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Emmental français râpé 100g,alimentaire_fruits_legumes,"0,99 €",0.99,https://courses.monoprix.fr/products/monoprix-emmental-français-râpé-100g/MPX_123285,Monoprix Courses (online),https://courses.monoprix.fr
Tous Les Jours Vinaigre Cristal 1L,alimentaire_fruits_legumes,"0,99 €",0.99,https://courses.monoprix.fr/products/tous-les-jours-vinaigre-cristal-1l/MPX_6615130,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Concombre Noa,alimentaire_fruits_legumes,"1,10 €",1.1,https://courses.monoprix.fr/products/monoprix-concombre-noa/MPX_1541840,Monoprix Courses (online),https://courses.monoprix.fr
